annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;nombre_de_gagnant_au_rang13_en_france;nombre_de_gagnant_au_rang13_en_europe;rapport_du_rang13;numero_My_Million;devise;nom;type;Nom complet
2016025;VENDREDI;25/03/2016;25/05/2016;43;36;12;42;19;8;5;-12-19-36-42-43-;-5-8-;0;0;0;0;3;450425,3;1;6;75070,8;8;65;3464,8;187;941;209,4;325;1658;118,8;514;2892;48,6;8788;45365;14,2;7859;40899;15,1;15214;76237;13,6;46573;240487;7,6;118417;612183;8;230144;1127804;4,4;QL4503469;eur;Newtwo;1;ミｭウツ
2016024;MARDI   ;22/03/2016;22/05/2016;15;49;12;26;42;5;8;-12-15-26-42-49-;-5-8-;0;0;0;0;1;927462;3;8;38644,2;7;40;3864,4;125;644;210;211;1200;112,7;394;2152;44,8;5894;32483;13,6;5498;29725;14,3;10772;54468;13,1;30962;171245;7,3;83437;441393;7,7;159445;798353;4,3;KW6052730;eur;Mew;1;ミｭウ
2016023;VENDREDI;18/03/2016;18/05/2016;14;49;21;19;24;5;11;-14-19-21-24-49-;-5-11-;0;1;59687034;1;4;388021,8;1;10;51736,2;14;62;4172,2;210;1048;215,9;478;2249;100,6;382;2320;69,6;5627;34009;21,8;9418;50124;14,1;21225;103830;11,5;30000;179955;11,6;135294;723314;7,8;303016;1495041;3,8;LS2876887;eur;Arbok;2;アーボック
2016022;MARDI   ;15/03/2016;15/05/2016;7;10;5;44;34;10;2;-5-7-10-34-44-;-2-10-;0;0;0;0;2;538801,5;1;9;39911,2;11;34;5282,3;127;688;228,4;289;1517;103,5;401;1699;66;5814;24726;20,8;7339;35211;14;15580;76272;10,8;26368;123793;11,7;105617;511992;7,7;225965;1119057;3,6;LU5486035;eur;Nidorina;2;ニドリーナ
2016021;VENDREDI;11/03/2016;11/05/2016;26;43;1;21;40;9;6;-1-21-26-40-43-;-6-9-;0;0;0;2;3;503809,5;1;5;100761,9;7;38;6629;145;817;269,7;274;1609;136,9;428;2242;70,2;6864;36063;20;7523;40264;17,2;14915;79039;14,7;40301;205443;9,9;124631;632914;8,7;245190;1253417;4,5;KF7439918;eur;Sulfura;1;ファイヤー
2016020;MARDI   ;08/03/2016;08/05/2016;9;14;23;8;1;7;1;-1-8-9-14-23-;-1-7-;0;0;0;2;7;149414,4;3;6;58105,6;16;62;2811,5;362;1281;119;524;2095;72,8;753;2720;40;8959;33855;14,8;12100;48841;9,8;19399;82845;9,7;37793;153832;9,2;134035;577174;6,6;231128;1060179;3,6;VY7735395;eur;Rattatac;2;ラッタ
2016019;VENDREDI;04/03/2016;04/05/2016;9;23;40;16;14;1;5;-9-14-16-23-40-;-1-5-;0;0;0;2;4;379008,8;2;3;168448,3;21;70;3609,6;279;1232;179,4;562;2373;93,1;733;2921;54;9634;40373;17,9;12627;54065;12,8;25155;102561;11,3;48818;205617;9,9;175056;748522;7,4;346417;1424929;3,9;UB8534811,FU1253757,NM7936544,AR5855166,GD4576906;eur;Raichu;2;ライチュウ
2016018;MARDI   ;01/03/2016;01/05/2016;37;7;28;13;4;11;10;-4-7-13-28-37-;-10-11-;0;0;0;2;4;252849,7;3;9;37459,2;12;38;4435,9;249;922;159,9;737;2801;52,6;324;1533;68,7;4631;21383;22,6;8116;32322;14,3;25123;100943;7,7;22347;106733;12,8;99370;417649;8,8;296074;1228114;3;MZ8211941,CL8815008,RA9340923,NX2388310,DD4108857;eur;Entei;1;エンテイ
2016017;VENDREDI;26/02/2016;27/04/2016;13;50;5;33;15;9;11;-5-13-15-33-50-;-9-11-;0;1;15000000;1;4;364156,3;3;18;26974,5;12;46;5277,6;219;1333;159,3;480;3044;69,7;387;2452;61,8;5171;31898;21,8;9270;51988;12,8;21202;115878;9,6;24708;156133;12,6;122307;682446;7,8;288598;1536951;3,5;RN4071733;eur;Mimitos;2;コンパン
2016016;MARDI   ;23/02/2016;24/04/2016;42;32;23;25;37;11;1;-23-25-32-37-42-;-1-11-;0;1;31340088;0;1;1026062,9;1;6;57003,4;8;35;4886;94;522;286,6;276;1432;104,4;229;1355;78,8;3962;21800;22,5;4090;24956;18,8;10733;63850;12,3;21871;117666;11,8;66533;385033;9,7;169906;960766;4;NV2224822;eur;Ho-ho;1;ホウオウ
